ts_code,symbol,name,list_date,list_status
600840.SH,600840,新湖创业(退),19940311,D
600842.SH,600842,中西药业(退),19940311,D
600852.SH,600852,*ST中川(退),19940404,D
600878.SH,600878,*ST北科(退),19951013,D
600891.SH,600891,退秋林(退),19960325,D
600899.SH,600899,*ST信联(退),19960426,D
600978.SH,600978,*ST宜生(退),20040824,D
600991.SH,600991,广汽长丰(退),20040614,D
601268.SH,601268,*ST二重(退),20100202,D
601299.SH,601299,中国北车(退),20091229,D
601558.SH,601558,退锐电(退),20110113,D
T00018.SH,T00018,上港集箱(退),20000719,D
