ts_code,symbol,name,list_date,list_status
000560.SZ,000560,我爱我家,19940202,L
000561.SZ,000561,烽火电子,19940509,L
000563.SZ,000563,陕国投A,19940110,L
000564.SZ,000564,*ST大集,19940110,L
000565.SZ,000565,渝三峡A,19940408,L
000566.SZ,000566,海南海药,19940525,L
000567.SZ,000567,海德股份,19940525,L
000568.SZ,000568,泸州老窖,19940509,L
000570.SZ,000570,苏常柴A,19940701,L
000571.SZ,000571,ST大洲,19940525,L
000572.SZ,000572,海马汽车,19940808,L
000573.SZ,000573,粤宏远A,19940815,L
000576.SZ,000576,甘化科工,19940907,L
000581.SZ,000581,威孚高科,19980924,L
000582.SZ,000582,北部湾港,19951102,L
000584.SZ,000584,哈工智能,19951128,L
000585.SZ,000585,*ST东电,19951213,L
000586.SZ,000586,汇源通信,19951220,L
000587.SZ,000587,*ST金洲,19960425,L
000589.SZ,000589,贵州轮胎,19960308,L
000590.SZ,000590,启迪药业,19960119,L
000591.SZ,000591,太阳能,19960208,L
000592.SZ,000592,平潭发展,19960327,L
000593.SZ,000593,大通燃气,19960312,L
000595.SZ,000595,宝塔实业,19960419,L
000596.SZ,000596,古井贡酒,19960927,L
000597.SZ,000597,东北制药,19960523,L
000598.SZ,000598,兴蓉环境,19960529,L
000599.SZ,000599,青岛双星,19960430,L
000600.SZ,000600,建投能源,19960606,L
000601.SZ,000601,韶能股份,19960830,L
000603.SZ,000603,盛达资源,19960823,L
000605.SZ,000605,渤海股份,19960913,L
000606.SZ,000606,ST顺利,19961004,L
000607.SZ,000607,华媒控股,19960830,L
000608.SZ,000608,阳光股份,19960919,L
000609.SZ,000609,*ST中迪,19961010,L
000610.SZ,000610,西安旅游,19960926,L
000611.SZ,000611,*ST天首,19961008,L
000612.SZ,000612,焦作万方,19960926,L
000613.SZ,000613,*ST东海A,19970128,L
000615.SZ,000615,奥园美谷,19961016,L
000616.SZ,000616,ST海投,19961108,L
000617.SZ,000617,中油资本,19961022,L
000619.SZ,000619,海螺型材,19961023,L
000620.SZ,000620,新华联,19961029,L
000622.SZ,000622,恒立实业,19961107,L
000623.SZ,000623,吉林敖东,19961028,L
000625.SZ,000625,长安汽车,19970610,L
000626.SZ,000626,远大控股,19961128,L
000627.SZ,000627,天茂集团,19961112,L
000628.SZ,000628,高新发展,19961118,L
000629.SZ,000629,攀钢钒钛,19961115,L
000630.SZ,000630,铜陵有色,19961120,L
000631.SZ,000631,顺发恒业,19961122,L
000632.SZ,000632,三木集团,19961121,L
000633.SZ,000633,合金投资,19961112,L
000635.SZ,000635,英力特,19961120,L
000636.SZ,000636,风华高科,19961129,L
000637.SZ,000637,茂化实华,19961114,L
000638.SZ,000638,*ST万方,19961126,L
000639.SZ,000639,西王食品,19961126,L
000650.SZ,000650,仁和药业,19961210,L
000651.SZ,000651,格力电器,19961118,L
000652.SZ,000652,泰达股份,19961128,L
000655.SZ,000655,金岭矿业,19961128,L
000656.SZ,000656,金科股份,19961128,L
000657.SZ,000657,中钨高新,19961205,L
000659.SZ,000659,珠海中富,19961203,L
000661.SZ,000661,长春高新,19961218,L
000663.SZ,000663,永安林业,19961206,L
