V1,V2
20020403,1
20020404,1
20020405,1
20020408,1
20020409,1
20020410,1
20020411,1
20020412,1
20020415,1
20020416,1
20020417,1
20020418,1
20020419,1
20020422,1
20020423,1
20020424,1
20020425,1
20020426,1
20020429,1
20020430,1
20020508,1
20020509,1
20020510,1
20020513,1
20020514,1
20020515,1
20020516,1
20020517,1
20020520,1
20020521,1
20020522,1
20020523,1
20020524,1
20020527,1
20020528,1
20020529,1
20020530,1
20020531,1
20020603,1
20020604,1
20020605,1
20020606,1
20020607,1
20020610,1
20020611,1
20020612,1
20020613,1
20020614,1
20020617,1
20020618,1
20020619,1
20020620,1
20020621,1
20020624,1
20020625,1
20020626,1
20020627,1
20020628,1
20020701,1
20020702,1
20020703,1
20020704,1
20020705,1
20020708,1
20020709,1
20020710,1
20020711,1
20020712,1
20020715,1
20020716,1
20020717,1
20020718,1
20020719,1
20020722,1
20020723,1
20020724,1
20020725,1
20020726,1
20020729,1
20020730,1
20020731,1
20020801,1
20020802,1
20020805,1
20020806,1
20020807,1
20020808,1
20020809,1
20020812,1
20020813,1
20020814,1
20020815,1
20020816,1
20020819,1
20020820,1
20020821,1
20020822,1
20020823,1
20020826,1
20020827,1
20020828,1
20020829,1
20020830,1
20020902,1
20020903,1
20020904,1
20020905,1
20020906,1
20020909,1
20020910,1
20020911,1
20020912,1
20020913,1
20020916,1
20020917,1
20020918,1
20020919,1
20020920,1
20020923,1
20020924,1
20020925,1
20020926,1
20020927,1
20021008,1
20021009,1
20021010,1
20021011,1
20021014,1
20021015,1
20021016,1
20021017,1
20021018,1
20021021,1
20021022,1
20021023,1
20021024,1
20021025,1
20021028,1
20021029,1
20021030,1
20021031,1
20021101,1
20021104,1
20021105,1
20021106,1
20021107,1
20021108,1
20021111,1
20021112,1
20021113,1
20021114,1
20021115,1
20021118,1
20021119,1
20021120,1
20021121,1
20021122,1
20021125,1
20021126,1
20021127,1
20021128,1
20021129,1
20021202,1
20021203,1
20021204,1
20021205,1
20021206,1
20021209,1
20021210,1
20021211,1
20021212,1
20021213,1
20021216,1
20021217,1
20021218,1
20021219,1
20021220,1
20021223,1
20021224,1
20021225,1
20021226,1
20021227,1
20021230,1
20021231,1
20030102,1
20030103,1
20030106,1
20030107,1
20030108,1
20030109,1
20030110,1
20030113,1
20030114,1
20030115,1
20030116,1
20030117,1
20030120,1
20030121,1
20030122,1
20030123,1
20030124,1
20030127,1
20030128,1
20030129,1
20030210,1
20030211,1
20030212,1
20030213,1
20030214,1
20030217,1
20030218,1
20030219,1
20030220,1
20030221,1
20030224,1
20030225,1
20030226,1
20030227,1
20030228,1
20030303,1
20030304,1
20030305,1
20030306,1
20030307,1
20030310,1
20030311,1
20030312,1
20030313,1
20030314,1
20030317,1
20030318,1
20030319,1
20030320,1
20030321,1
20030324,1
20030325,1
20030326,1
20030327,1
20030328,1
20030331,1
20030401,1
20030402,1
20030403,1
20030404,1
20030407,1
20030408,1
20030409,1
20030410,1
20030411,1
20030414,1
20030415,1
20030416,1
20030417,1
20030418,1
20030421,1
20030422,1
20030423,1
20030424,1
20030425,1
20030428,1
20030429,1
20030430,1
20030512,1
20030513,1
20030514,1
20030515,1
20030516,1
20030519,1
20030520,1
20030521,1
20030522,1
20030523,1
20030526,1
20030527,1
20030528,1
20030529,1
20030530,1
20030602,1
20030603,1
20030604,1
20030605,1
20030606,1
20030609,1
20030610,1
20030611,1
20030612,1
20030613,1
20030616,1
20030617,1
20030618,1
20030619,1
20030620,1
20030623,1
20030624,1
20030625,1
20030626,1
20030627,1
20030630,1
20030701,1
20030702,1
20030703,1
20030704,1
20030707,1
20030708,1
20030709,1
20030710,1
20030711,1
20030714,1
20030715,1
20030716,1
20030717,1
20030718,1
20030721,1
20030722,1
20030723,1
20030724,1
20030725,1
20030728,1
20030729,1
20030730,1
20030731,1
20030801,1
20030804,1
20030805,1
20030806,1
20030807,1
20030808,1
20030811,1
20030812,1
20030813,1
20030814,1
20030815,1
20030818,1
20030819,1
20030820,1
20030821,1
20030822,1
20030825,1
20030826,1
20030827,1
20030828,1
20030829,1
20030901,1
20030902,1
20030903,1
20030904,1
20030905,1
20030908,1
20030909,1
20030910,1
20030911,1
20030912,1
20030915,1
20030916,1
20030917,1
20030918,1
20030919,1
20030922,1
20030923,1
20030924,1
20030925,1
20030926,1
20030929,1
20030930,1
20031008,1
20031009,1
20031010,1
20031013,1
20031014,1
20031015,1
20031016,1
20031017,1
20031020,1
20031021,1
20031022,1
20031023,1
20031024,1
20031027,1
20031028,1
20031029,1
20031030,1
20031031,1
20031103,1
20031104,1
20031105,1
20031106,1
20031107,1
20031110,1
20031111,1
20031112,1
20031113,1
20031114,1
20031117,1
20031118,1
20031119,1
20031120,1
20031121,1
20031124,1
20031125,1
20031126,1
20031127,1
20031128,1
20031201,1
20031202,1
20031203,1
20031204,1
20031205,1
20031208,1
20031209,1
20031210,1
20031211,1
20031212,1
20031215,1
20031216,1
20031217,1
20031218,1
20031219,1
20031222,1
20031223,1
20031224,1
20031225,1
20031226,1
20031229,1
20031230,1
20031231,1
20040102,1
20040105,1
20040106,1
20040107,1
20040108,1
20040109,1
20040112,1
20040113,1
20040114,1
20040115,1
20040116,1
20040129,1
20040130,1
20040202,1
20040203,1
20040204,1
20040205,1
20040206,1
20040209,1
20040210,1
20040211,1
20040212,1
20040213,1
20040216,1
20040217,1
20040218,1
20040219,1
20040220,1
20040223,1
20040224,1
20040225,1
20040226,1
20040227,1
20040301,1
20040302,1
20040303,1
20040304,1
20040305,1
20040308,1
20040309,1
20040310,1
20040311,1
20040312,1
20040315,1
